id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite
1766150917023645,Snake Mania,SZ IYouLong,"2,870,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/28126759_1817427995229270_786736033218691072_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=8e8f3ca92f40624094cadfe2530d6d32&oe=5C94150D,false
1983392221930776,"Let's Farm-Idle Tycoon",diandian,"2,000,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/42673305_2214347075501955_3645025936799170560_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=8b9c67c622a1cff5c5ea58fffd08c846&oe=5C9B4858,false
2123873081225075,Big Fish,bianfeng,"12,500,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/37339553_2126184270993956_3072229259750670336_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=d083b08ab7e9f4dfcf062437f8214885&oe=5C9CDBED,false
1812939335416317,欢乐碰碰 - 开心庄园,diandian,"550,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/34810242_1899016976808552_5754909499764768768_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=8c1967bbe0009461e0f7f4e94b912b42&oe=5C945F5C,false
474443516378085,Nametests,social sweethearts GmbH,"170,000,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45453261_475868079568962_5245397649699373056_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=0fc93c151aab1043a6505bbcdba12b98&oe=5C922230,false
1250735238360354,Last Knife,Room502,"6,160,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/45228041_1510940279006514_2251416513623883776_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=ea559f3879231947637b663e61a14bad&oe=5C979A44,false
1829935823906294,8 Ball Pool,Miniclip,"6,200,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/26036673_2078977032335504_4726933176528666624_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=77d46eec3a66b02276e71212203fbbbc&oe=5C924C44,false
455676461606571,OMG,Supergene,"100,000,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/42961641_481744612333089_8200073263716499456_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=e72251866435c03d274b045b26a43abb&oe=5CAB6DA5,false
1939015149698140,UNO,Mattel163,"5,160,000",牌类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/48665552_2205592269707092_3075166085373231104_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=d9c1ceec257fc7b302d2138fc2b032ae&oe=5C8FA72C,false
2291144337581836,Stick Hero Go,ZQ Game,"110,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129a/p128x128/47938368_2361662357196700_7318286696544468992_n.png?_nc_cat=1&_nc_ht=scontent-hkg3-1.xx&oh=3f82e28d1b73a4c023630e28bd2dc92f&oe=5C971B91,false
